action,owner,repo,sub_path,github_url,marketplace_url,usage_count,workflow_count,tag_versions,sha_pinned_versions,is_sha_pinned,is_mixed_pinning,example_workflows
actions/checkout,actions,checkout,,https://github.com/actions/checkout,https://github.com/marketplace/actions/checkout,334,241,main; master; v1; v2; v3; v4; v4.1.7; v5; v6,7,True,True,npm/map-workspaces; RedHatInsights/insights-results-aggregator-exporter; OWASP/wstg
mshick/add-pr-comment,mshick,add-pr-comment,,https://github.com/mshick/add-pr-comment,https://github.com/marketplace/actions/add-pr-comment,84,30,v1,0,False,False,oracle-devrel/tech-content-heatwave; oracle-devrel/oci-arch-virtual-disk-import; oracle-devrel/helm-oci-mysql
actions/setup-python,actions,setup-python,,https://github.com/actions/setup-python,https://github.com/marketplace/actions/setup-python,34,25,v2; v3; v4; v5; v6,1,True,True,OWASP/wstg; BBN-Q/QGL; repo-helper/hatch-requirements-txt
MicrosoftDocs/microsoft-365-docs/.github/workflows/Shared-ExtractPayload.yml,MicrosoftDocs,microsoft-365-docs,.github/workflows/Shared-ExtractPayload.yml,https://github.com/MicrosoftDocs/microsoft-365-docs,,22,22,workflows-prod,0,False,False,MicrosoftDocs/Managed-Desktop; MicrosoftDocs/OfficeDocs-CustomLearning; MicrosoftDocs/outlook
amannn/action-semantic-pull-request,amannn,action-semantic-pull-request,,https://github.com/amannn/action-semantic-pull-request,https://github.com/marketplace/actions/action-semantic-pull-request,21,21,v4; v5.0.2,0,False,False,aws-samples/amazon-chime-voiceconnector-cdr-processing; ory/defcon-30-ctf; ory/resilient-axios
actions/setup-node,actions,setup-node,,https://github.com/actions/setup-node,https://github.com/marketplace/actions/setup-node,23,21,v1; v2; v3; v4; v5; v6,2,True,True,npm/map-workspaces; OWASP/wstg; konveyor/release-tools
ory/ci/conventional_commit_config,ory,ci,conventional_commit_config,https://github.com/ory/ci,,20,20,master,0,False,False,ory/defcon-30-ctf; ory/resilient-axios; ory/hydra-client-js
ocicl/ocicl-action,ocicl,ocicl-action,,https://github.com/ocicl/ocicl-action,https://github.com/marketplace/actions/ocicl-action,20,20,main,0,False,False,ocicl/cl-string-match; ocicl/cl-bibtex; ocicl/clinenoise
ruby/setup-ruby,ruby,setup-ruby,,https://github.com/ruby/setup-ruby,https://github.com/marketplace/actions/setup-ruby,55,15,v1,0,False,False,openstreetmap/openstreetmap-website; simp/pupmod-simp-vnc; simp/pupmod-simp-sudo
actions/github-script,actions,github-script,,https://github.com/actions/github-script,https://github.com/marketplace/actions/github-script,18,14,v6; v7; v8,2,True,True,lacework/terraform-gcp-config; aziontech/lib; galacticcouncil/blockscout-frontend
ocicl/ocicl-action/update-check,ocicl,ocicl-action,update-check,https://github.com/ocicl/ocicl-action,,13,13,main,0,False,False,ocicl/cl-string-match; ocicl/cl-bibtex; ocicl/clinenoise
oracle-devrel/action-license-audit,oracle-devrel,action-license-audit,,https://github.com/oracle-devrel/action-license-audit,https://github.com/marketplace/actions/action-license-audit,12,12,1.0.2,0,False,False,oracle-devrel/oci-rust-getting-started; oracle-devrel/repo-manager-test2; oracle-devrel/incubator-template
actions/upload-artifact,actions,upload-artifact,,https://github.com/actions/upload-artifact,https://github.com/marketplace/actions/upload-artifact,12,11,v2; v3; v4,0,False,False,minder-load-tests/demo-go-818; minder-load-tests/demo-go-979; minder-load-tests/demo-go-935
MicrosoftDocs/microsoft-365-docs/.github/workflows/Shared-AutoLabelMsftContributor.yml,MicrosoftDocs,microsoft-365-docs,.github/workflows/Shared-AutoLabelMsftContributor.yml,https://github.com/MicrosoftDocs/microsoft-365-docs,,11,11,workflows-prod,0,False,False,MicrosoftDocs/OfficeDocs-DeployOffice; MicrosoftDocs/Hololens; MicrosoftDocs/Devices-docs
actions/setup-go,actions,setup-go,,https://github.com/actions/setup-go,https://github.com/marketplace/actions/setup-go,15,11,v3; v4; v5,3,True,True,RedHatInsights/insights-results-aggregator-exporter; minder-load-tests/demo-go-818; minder-load-tests/demo-go-979
adafruit/workflows-circuitpython-libs/build,adafruit,workflows-circuitpython-libs,build,https://github.com/adafruit/workflows-circuitpython-libs,,11,11,main,0,False,False,adafruit/Adafruit_CircuitPython_FocalTouch; adafruit/Adafruit_CircuitPython_BMP5xx; adafruit/Adafruit_CircuitPython_Prompt_Toolkit
actions/cache,actions,cache,,https://github.com/actions/cache,https://github.com/marketplace/actions/cache,17,11,v2; v4,1,True,True,BBN-Q/QGL; pallets/itsdangerous; nebula-plugins/gradle-netflixoss-project-plugin
adafruit/circuitpython-action-library-ci-failed,adafruit,circuitpython-action-library-ci-failed,,https://github.com/adafruit/circuitpython-action-library-ci-failed,https://github.com/marketplace/actions/circuitpython-action-library-ci-failed,11,11,v1,0,False,False,adafruit/Adafruit_CircuitPython_DS3502; adafruit/Adafruit_CircuitPython_BNO055; adafruit/Adafruit_CircuitPython_MAX7219
ory/ci/licenses/setup,ory,ci,licenses/setup,https://github.com/ory/ci,,11,11,master,0,False,False,ory/homebrew-oathkeeper; ory/client-ruby; ory/oathkeeper-client-ruby
ory/ci/licenses/write,ory,ci,licenses/write,https://github.com/ory/ci,,11,11,master,0,False,False,ory/homebrew-oathkeeper; ory/client-ruby; ory/oathkeeper-client-ruby
ory/ci/licenses/check,ory,ci,licenses/check,https://github.com/ory/ci,,11,11,master,0,False,False,ory/homebrew-oathkeeper; ory/client-ruby; ory/oathkeeper-client-ruby
canonical/k8s-workflows/.github/workflows/scan_images.yaml,canonical,k8s-workflows,.github/workflows/scan_images.yaml,https://github.com/canonical/k8s-workflows,,11,11,main,0,False,False,canonical/cert-manager-rock; canonical/sriov-dpdk-rocks; canonical/kepler-rocks
canonical/k8s-workflows/.github/workflows/assemble_multiarch_image.yaml,canonical,k8s-workflows,.github/workflows/assemble_multiarch_image.yaml,https://github.com/canonical/k8s-workflows,,11,11,main,0,False,False,canonical/cert-manager-rock; canonical/sriov-dpdk-rocks; canonical/kepler-rocks
canonical/k8s-workflows/.github/workflows/build_rocks.yaml,canonical,k8s-workflows,.github/workflows/build_rocks.yaml,https://github.com/canonical/k8s-workflows,,11,11,main,0,False,False,canonical/cert-manager-rock; canonical/sriov-dpdk-rocks; canonical/kepler-rocks
canonical/k8s-workflows/.github/workflows/run_tests.yaml,canonical,k8s-workflows,.github/workflows/run_tests.yaml,https://github.com/canonical/k8s-workflows,,11,11,main,0,False,False,canonical/cert-manager-rock; canonical/sriov-dpdk-rocks; canonical/kepler-rocks
MicrosoftDocs/microsoft-365-docs/.github/workflows/Shared-AutoLabelAssign.yml,MicrosoftDocs,microsoft-365-docs,.github/workflows/Shared-AutoLabelAssign.yml,https://github.com/MicrosoftDocs/microsoft-365-docs,,11,11,workflows-prod,0,False,False,MicrosoftDocs/Managed-Desktop; MicrosoftDocs/OfficeDocs-CustomLearning; MicrosoftDocs/outlook
oracle-devrel/action-repolinter-audit,oracle-devrel,action-repolinter-audit,,https://github.com/oracle-devrel/action-repolinter-audit,https://github.com/marketplace/actions/action-repolinter-audit,10,10,v0.1-alpha2,0,False,False,oracle-devrel/terraform-oci-arch-elastic; oracle-devrel/incubator-template; oracle-devrel/oci-infra-automation-scripts
ministryofjustice/hmpps-github-actions/.github/workflows/deploy_env.yml,ministryofjustice,hmpps-github-actions,.github/workflows/deploy_env.yml,https://github.com/ministryofjustice/hmpps-github-actions,,22,9,v2,0,False,False,ministryofjustice/hmpps-learner-records-api; ministryofjustice/hmpps-support-additional-needs-api; ministryofjustice/hmpps-electronic-monitoring-data-insights-api
