gha_fingerprint,workflow_blob_url,source_git_repo,package_namespace,package_name,workflow_path,workflow_name,primary_language,stars_count,popularity_bucket,license,is_fork,num_jobs,total_steps,has_matrix_strategy,has_job_dependencies,uses_reusable_workflows,trigger_diversity_count,trigger_risk_level,has_workflow_dispatch_inputs,num_third_party_action_refs,num_uses_steps,num_run_steps,has_permissions_block,permission_scope,secrets_usage_count,has_conditional_expressions,workflow_purpose,has_self_hosted_runner,uses_container,structural_complexity_bucket,sha_pinning_ratio,uses_unverified_actions,expressions_in_run_blocks,taint_source_count,env_vars_with_expressions,security_surface_bucket,action_dependency_bucket
85a4aa7f4ac8308b00358a86c4a8bbc71ad183e73237200d06e59e4139b44706,https://github.com/cloudposse-terraform-components/aws-ec2-client-vpn/blob/a79a5b5bc650b7c59d783f8731f79f0826b3c977/.github/workflows/chatops.yml,cloudposse-terraform-components/aws-ec2-client-vpn,cloudposse-terraform-components,aws-ec2-client-vpn,.github/workflows/chatops.yml,chatops,HCL,0,q1_low,,False,1,0,False,False,True,1,high,False,0,0,0,True,write_all,0,True,other,False,True,simple,,False,False,0,False,no_expressions,no_third_party
5b2c8d8c959b24fd7489bd020727cfd4ca8e1fffd6e6f5f1f238cd085cd4bc2c,https://github.com/rapidsai/cuml/blob/f00d38df8951204dc6929eef810742927ee027b8/.github/workflows/test.yaml,rapidsai/cuml,rapidsai,cuml,.github/workflows/test.yaml,test,C++,4792,q4_top,Apache License 2.0,False,7,0,False,False,True,1,low,True,0,0,0,False,not_set,0,False,ci_test,False,True,complex,,False,False,0,False,no_expressions,no_third_party
6f6c418bbcf1ef627a73736a0dde01e7ce9f0fb96eb6a8f75cf69188433ba7a0,https://github.com/AdobeDocs/analytics.es-ES/blob/bbea3fecbed43fcc4f76c240e8063834f22fec7f/.github/workflows/assign-issue.yml,AdobeDocs/analytics.es-ES,adobedocs,analytics.es-es,.github/workflows/assign-issue.yml,Issue assignment,,0,q1_low,Other,False,1,1,False,False,False,1,high,False,1,1,0,False,not_set,1,False,other,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
b7c5de880675639b18637a0ef06670977d37926fb85a7a4b70182be2b8e0fc44,https://github.com/simp/pupmod-simp-sudo/blob/9c5d088ccfacaf0bc165e1711c2cea39a6f1a0b9/.github/workflows/pr_tests.yml,simp/pupmod-simp-sudo,simp,pupmod-simp-sudo,.github/workflows/pr_tests.yml,PR Tests,Ruby,3,q1_low,Other,False,6,22,True,True,False,1,medium,False,12,12,10,False,not_set,0,False,ci_test,False,True,complex,,False,False,0,False,no_expressions,unpinned_third_party
dd3b48dabcac3546f4a87300f2399a29b6b7fec06e12270bdc453cf9039765b5,https://github.com/nextcloud/event_update_notification/blob/dbbcdeaefdb567c63514c2d9d109b194d9555370/.github/workflows/appstore-build-publish.yml,nextcloud/event_update_notification,nextcloud,event_update_notification,.github/workflows/appstore-build-publish.yml,Build and publish app release,JavaScript,13,q2_medium,GNU Affero General Public License v3.0,False,1,21,False,False,False,1,low,False,12,12,9,False,not_set,5,True,deploy_release,False,True,complex,,False,False,0,False,no_expressions,unpinned_third_party
0eb41a782c52f39adf6b7b0b90f06830ec30396d155f7e42f6fb7a9fdf16f81d,https://github.com/Hapag-Lloyd/.github/blob/6bd816584eb1f5543ea56aab1634ecdce54b2284/.github/workflows/stale.yml,Hapag-Lloyd/.github,hapag-lloyd,.github,.github/workflows/stale.yml,Close stale issues and PRs,,0,q1_low,MIT License,False,1,0,False,False,True,1,low,False,0,0,0,False,not_set,0,False,other,False,True,simple,,False,False,0,False,no_expressions,no_third_party
08e23f1611f314df251726d87c31913ac93cb4c047c08f15c8c2411d05624b0c,https://github.com/AdobeDocs/audience-manager.ja-JP/blob/7716288cec4103a9bb6f47bcb9a114e502a5d3e8/.github/workflows/assign-issue.yml,AdobeDocs/audience-manager.ja-JP,adobedocs,audience-manager.ja-jp,.github/workflows/assign-issue.yml,Issue assignment,,0,q1_low,Other,False,1,1,False,False,False,1,high,False,1,1,0,False,not_set,1,False,other,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
93e99f1f5f59fc20cdd8a07115abd0b17dcee50cfb3e8bfaa6fb6aa0fb3d74ec,https://github.com/canonical/kepler-rocks/blob/bca886ea281e89de4281a1f8740097e1aaa0423e/.github/workflows/pull_request.yaml,canonical/kepler-rocks,canonical,kepler-rocks,.github/workflows/pull_request.yaml,Push Multiarch Images,Python,0,q1_low,Apache License 2.0,False,4,0,False,True,True,2,medium,False,0,0,0,False,not_set,0,True,other,False,True,complex,,False,False,0,False,no_expressions,no_third_party
90a5d4fff58afcbba4a7253b45b90d67342ff7462f6f842696226f2f2a91d205,https://github.com/salesforcecli/plugin-template-sf/blob/6a5771af38e01bddb2ad1b89ca8e886d7cf17564/.github/workflows/test.yml,salesforcecli/plugin-template-sf,salesforcecli,plugin-template-sf,.github/workflows/test.yml,tests,TypeScript,5,q1_low,"BSD 3-Clause ""New"" or ""Revised"" License",False,4,0,False,True,True,2,low,False,0,0,0,False,not_set,0,False,ci_test,False,True,complex,,False,False,0,False,no_expressions,no_third_party
aa4f04cf8c02162fe98b607103ae4d27a68095770552d7558e303336f687feb2,https://github.com/turbot/steampipe-plugin-crtsh/blob/63c04d6195952c0d1f18b5d3630fbe4619f78c55/.github/workflows/golangci-lint.yml,turbot/steampipe-plugin-crtsh,turbot,steampipe-plugin-crtsh,.github/workflows/golangci-lint.yml,golangci-lint,Go,3,q1_low,Apache License 2.0,False,1,0,False,False,True,2,medium,False,0,0,0,True,granular,0,False,code_quality,False,True,simple,,False,False,0,False,no_expressions,no_third_party
